LTE,272,3,4004,11203842,-1,-8.8269,53.1019,1608,9,1,1629350245,1729284920,0
LTE,272,3,4004,10828547,-1,-8.8267,53.1027,4251,50,1,1629350250,1729284921,0
LTE,272,5,42305,185862,-1,-9.4381,52.9613,2453,5,1,1629356660,1729284932,0
LTE,272,3,4004,11034114,-1,-8.7618,53.1671,5485,12,1,1629368900,1729284922,0
LTE,272,5,40300,820736,-1,-6.2235,53.423,796,50,1,1629964415,1729358705,0
LTE,272,5,40300,999936,-1,-6.2248,53.4142,1004,43,1,1629964457,1729358706,0
LTE,272,5,40300,999938,-1,-6.2267,53.4094,6878,37,1,1629964495,1729358706,0
LTE,272,5,40305,142850,-1,-6.2282,53.408,1000,11,1,1629964535,1729285040,0
LTE,272,5,40305,124673,-1,-6.2347,53.4014,1000,11,1,1629964551,1729358706,0
LTE,272,5,40105,787456,-1,-6.227,53.3483,1000,4,1,1629965037,1711034849,0
LTE,272,5,40105,787463,-1,-6.2214,53.3441,1000,10,1,1629973015,1711034765,0
LTE,272,5,40101,1015303,-1,-6.2296,53.3572,1000,8,1,1629973398,1711034765,0
LTE,272,5,40302,907520,-1,-6.27,53.409,815,35,1,1630399564,1729285039,0
LTE,272,5,40302,856321,-1,-6.2887,53.4081,519,26,1,1630399638,1729285039,0
LTE,272,5,40302,856322,-1,-6.3004,53.407,500,30,1,1630399660,1729285039,0
LTE,272,5,40302,907009,-1,-6.3103,53.4047,1000,24,1,1630399706,1729285039,0
LTE,272,5,40302,907010,-1,-6.3171,53.4023,500,32,1,1630399730,1729285039,0
LTE,272,5,40500,1190145,-1,-6.3244,53.3996,512,35,1,1630399750,1729285038,0
LTE,272,5,40500,1190146,-1,-6.3364,53.3952,982,50,1,1630399780,1729285038,0
LTE,272,5,40500,429312,-1,-6.3508,53.3897,655,34,1,1630399822,1729285038,0
LTE,272,5,40501,66056,-1,-6.3786,53.3563,1000,9,1,1630400074,1711034848,0
LTE,272,5,40500,1190152,-1,-6.3422,53.393,3018,26,1,1630404050,1729285038,0
LTE,272,5,40301,915477,-1,-6.2574,53.3637,1000,25,1,1630756051,1703104995,0
LTE,272,5,40204,1003014,-1,-6.2341,53.3376,1000,21,1,1630826666,1729358707,0
LTE,272,5,40300,999956,0,-6.2227,53.4176,1000,48,1,1631963507,1711034764,0
LTE,272,5,40300,999958,0,-6.2279,53.4102,1000,45,1,1631963546,1711034765,0
LTE,272,5,40303,825088,-1,-6.2477,53.3783,1000,31,1,1631955985,1703104993,0
LTE,272,5,40303,825089,-1,-6.2524,53.3725,1000,48,1,1631956173,1703104995,0
LTE,272,5,40303,82176,-1,-6.2519,53.3736,1000,20,1,1631956251,1703104994,0
LTE,272,5,40301,943954,-1,-6.2558,53.3666,1000,10,1,1631956383,1703104994,0
LTE,272,5,40100,842752,-1,-6.268,53.3473,1000,12,1,1631958160,1729448223,0
LTE,272,5,40100,982293,-1,-6.2662,53.352,1000,6,1,1631964902,1729358710,0
LTE,272,5,40100,97814,-1,-6.2632,53.358,1000,12,1,1631965026,1703104995,0
LTE,272,5,40303,825109,-1,-6.2529,53.3717,1000,19,1,1631965348,1703104994,0
LTE,272,5,40303,82197,-1,-6.2524,53.3711,1000,38,1,1631965400,1703104995,0
LTE,272,5,40303,82196,-1,-6.2523,53.3734,1000,12,1,1631965494,1703104994,0
LTE,272,5,40305,957185,-1,-6.2435,53.3882,1000,27,1,1631965802,1703104993,0
LTE,272,5,40101,1010944,-1,-6.2243,53.3542,1000,19,1,1632397197,1729358706,0
LTE,272,5,40101,1010945,-1,-6.2258,53.3518,1000,24,1,1632397223,1729358706,0
LTE,272,5,40101,866560,-1,-6.2351,53.359,1000,6,1,1632397698,1711034849,0
LTE,272,5,40101,992030,-1,-6.2599,53.3499,1000,14,1,1632398790,1729358709,0
LTE,272,5,40104,506368,-1,-6.2575,53.3431,1000,10,1,1632399743,1729448222,0
LTE,272,5,40204,1216770,-1,-6.2467,53.3342,1000,4,1,1632400401,1729285044,0
LTE,272,5,42202,374278,-1,-9.178,53.0788,23835,15,1,1633150450,1729284850,0
LTE,272,5,42201,86018,-1,-8.955,53.2879,1786,49,1,1633150660,1711034826,0
LTE,272,5,42201,86017,-1,-8.9242,53.2772,732,38,1,1633150820,1729284843,0
LTE,272,5,42201,138759,-1,-8.8958,53.2813,5676,9,1,1633151000,1711034826,0
LTE,272,5,42203,445959,-1,-8.8361,53.2989,2068,50,1,1633151060,1729284955,0
LTE,272,5,42203,456198,-1,-8.3657,53.312,3207,50,1,1633152234,1729284976,0
LTE,272,5,41900,823048,-1,-8.2226,53.3344,2208,18,1,1633152724,1729284977,0
LTE,272,5,41900,797441,-1,-7.9922,53.4164,1252,51,1,1633153178,1711034777,0
LTE,272,5,41900,1252096,-1,-7.9501,53.4321,1345,83,1,1633153298,1711034837,0
LTE,272,5,41900,1187079,-1,-7.8871,53.3978,9600,103,1,1633153786,1711034776,0
LTE,272,5,41900,1187073,-1,-7.8766,53.4045,2069,73,1,1633153806,1711034838,0
LTE,272,5,41901,1172744,-1,-7.8053,53.3941,3085,109,1,1633153956,1711034892,0
LTE,272,5,41901,1172743,-1,-7.7367,53.3861,4427,91,1,1633154276,1711034775,0
LTE,272,5,40502,1010439,-1,-6.3362,53.3448,1000,35,1,1633158064,1711034849,0
LTE,272,5,40101,1000468,-1,-6.2638,53.352,500,25,1,1633164466,1729358711,0
LTE,272,5,40101,1000469,-1,-6.261,53.3518,1000,6,1,1633164587,1729358711,0
LTE,272,5,40104,225813,-1,-6.264,53.3442,1000,6,1,1633165147,1735254061,0
LTE,272,5,40104,918548,-1,-6.264,53.344,1000,5,1,1633165307,1735254062,0
LTE,272,5,40101,916245,-1,-6.2657,53.349,1000,4,1,1633238697,1729358710,0
LTE,272,5,40101,1000528,-1,-6.2642,53.3525,1000,8,1,1633239974,1729358710,0
LTE,272,5,40101,1000454,-1,-6.2636,53.3512,1000,2,1,1633240065,1729358710,0
LTE,272,5,40305,914001,-1,-6.2605,53.3841,1093,12,1,1632554228,1703104994,0
LTE,272,5,40301,943880,-1,-6.2564,53.3659,1000,9,1,1632565871,1703104995,0
LTE,272,5,40300,999944,-1,-6.2255,53.4112,1000,31,1,1632566477,1711034849,0
LTE,272,5,40300,999942,-1,-6.2228,53.4172,1000,29,1,1632566544,1711034849,0
LTE,272,5,40500,778774,-1,-6.3627,53.3831,974,41,1,1632825477,1729285036,0
LTE,272,5,41002,975124,-1,-6.4023,53.3568,1000,22,1,1632825785,1711034765,0
LTE,272,5,41002,963862,-1,-6.4177,53.3586,1000,31,1,1632825851,1711034765,0
LTE,272,5,41002,929301,-1,-6.4276,53.3561,1000,13,1,1632826368,1711034765,0
LTE,272,5,41002,797702,-1,-6.4475,53.3511,1000,17,1,1632826488,1711034848,0
LTE,272,5,41002,92422,-1,-6.4566,53.3528,1000,13,1,1632826534,1711034765,0
LTE,272,5,41001,383750,-1,-6.5397,53.3605,1000,11,1,1632826982,1711034766,0
LTE,272,5,41401,1157376,-1,-6.7737,53.4104,2006,23,1,1632827688,1729285031,0
LTE,272,5,41401,1157377,-1,-6.8144,53.4051,1697,50,1,1632827698,1729285031,0
LTE,272,5,41401,1157382,-1,-6.781,53.4085,1742,88,1,1632827780,1711034846,0
LTE,272,5,41401,1157383,-1,-6.8166,53.4047,1723,91,1,1632827798,1711034846,0
