population,lon,lat,elevation,tower_height,coverage_km,path_loss,tx_power,cluster,x,y
616.8055572509766,-8.747478900481099,51.99692996872321,185.0,39.25,2.785,152.91273144315025,-22.91273144315025,4,,
894.1450843811035,-8.221964459271181,51.91062778511386,11.0,30.55,2.6109999999999998,153.74833009966042,-23.74833009966042,4,,
986.7709608078003,-8.343237022627317,51.8241594322677,23.0,31.15,2.623,153.67846858399116,-23.67846858399116,4,,
512.5381259918213,-8.262388647056557,51.96818102981287,132.0,36.6,2.732,153.13152601766248,-23.13152601766248,4,,
567.6749420166016,-9.27299334169102,51.563756138413176,20.0,31.0,2.62,153.69573044758,-23.69573044757999,4,,
573.277027130127,-8.808115182159165,51.75197544821728,132.0,36.6,2.732,153.13152601766248,-23.13152601766248,4,,
558.0223484039307,-8.302812834841937,51.91062778511386,2.0,30.1,2.6020000000000003,153.80218246718738,-23.80218246718738,4,,
843.8198547363281,-8.787903088266475,51.91062778511386,73.0,33.65,2.673,153.40934522346922,-23.409345223469217,4,,
2894.937843322754,-8.50493377376883,51.70860959788775,66.0,33.3,2.666,153.44502309437226,-23.44502309437226,4,,
654.6690893173218,-8.605994243232274,51.66520213419281,65.0,33.25,2.665,153.45017053657799,-23.450170536577986,4,,
662.1562614440918,-9.576174750081355,51.86741438753986,49.0,32.45,2.649,153.5342978830571,-23.534297883057093,4,,
681.9663009643555,-9.535750562295979,51.751975448217294,19.0,30.95,2.6189999999999998,153.7015142614095,-23.7015142614095,4,,
586.7182245254517,-9.45490218672522,51.665202134192825,108.0,35.4,2.708,153.23982223478725,-23.239822234787255,4,,
865.9302124977112,-9.51553846840329,51.62175304213899,15.0,30.75,2.615,153.72480026149307,-23.724800261493073,4,,
7752.898132324219,-8.48472167987614,51.9250230185819,57.0,32.85,2.657,153.49181385289424,-23.49181385289424,4,,
572.8911771774292,-8.383661210412692,51.76642148684909,58.0,32.9,2.658,153.48656293581476,-23.48656293581476,4,,
751.3930587768554,-9.47511428061791,52.02566045814192,56.0,32.8,2.6559999999999997,153.49707790500406,-23.497077905004062,4,,
622.7401504516602,-9.41447799893984,52.04001878573521,87.0,34.35,2.6870000000000003,153.33980389730806,-23.33980389730806,4,,
579.246862411499,-8.626206337124964,51.93941363680615,128.0,36.4,2.7279999999999998,153.1491523679138,-23.149152367913814,4,,
2187.2390098571777,-8.99002402719337,51.91062778511386,126.0,36.3,2.726,153.15802779144985,-23.158027791449854,4,,
530.6247406005859,-8.242176553163869,51.86741438753988,76.0,33.8,2.676,153.39424213187348,-23.394242131873483,4,,
812.4451313018799,-8.868751463837235,51.650723729619514,43.0,32.15,2.643,153.56672677929907,-23.566726779299074,4,,
642.9350719451904,-9.23256915390564,51.853000687394506,91.0,34.55,2.691,153.32036706823055,-23.320367068230553,4,,
532.3108477592468,-9.374053811154463,51.491155847110534,15.0,30.75,2.615,153.72480026149307,-23.724800261493073,4,,
1133.8877391815186,-8.50493377376883,51.76642148684909,87.0,34.35,2.6870000000000003,153.33980389730806,-23.33980389730806,4,,
751.5781650543213,-8.565570055446898,51.78086290400824,82.0,34.1,2.682,153.36436730904535,-23.36436730904535,4,,
798.0616493225098,-9.09108449665682,51.723069504295424,67.0,33.35,2.667,153.43988838897698,-23.439888388976982,4,,
786.2340812683105,-8.666630524910344,51.79529970025602,46.0,32.3,2.646,153.55045092624792,-23.55045092624792,4,,
991.9401998519897,-8.565570055446898,51.95379964035875,95.0,34.75,2.6950000000000003,153.3011176676952,-23.301117667695195,4,,
2075.6861839294434,-8.403873304305383,51.95379964035875,99.0,34.95,2.699,153.28205324621365,-23.28205324621365,4,,
621.5411088466644,-9.899568252364386,51.83858236915919,9.0,30.45,2.609,153.76018757611467,-23.760187576114674,4,,
566.0852069854736,-8.323024928734625,51.78086290400824,24.0,31.2,2.624,153.67274430975488,-23.672744309754876,4,,
553.8930130004883,-8.707054712695722,51.91062778511386,83.0,34.15,2.683,153.3594306490673,-23.359430649067292,4,,
1165.1426448822021,-8.868751463837235,51.62175304213901,64.0,33.2,2.664,153.45533075901415,-23.455330759014146,4,,
