population,lon,lat,elevation,tower_height,max_distance_km,path_loss,tx_power
831.4461441040039,-8.622660909832273,51.922180229322905,35.0,31.75,2.635,153.6107393687524,-23.610739368752405
2245.564437866211,-9.71411398003749,52.14234351944059,29.0,31.45,2.629,153.6443431540358,-23.644343154035795
1736.1923217773438,-8.339691595334626,52.00846019734897,176.0,38.8,2.776,152.9480439323761,-22.948043932376095
1317.5575904846191,-8.69003455614124,52.10413210894698,121.0,36.05,2.721,153.1804000247553,-23.1804000247553
673.3589019775391,-8.474438887952555,51.73948784345041,21.0,31.05,2.621,153.68996159933582,-23.689961599335817
554.6528701782227,-8.541812534261519,51.9413679100809,101.0,35.05,2.701,153.2725896491074,-23.272589649107402
1198.267578125,-9.121225892518611,51.72021394232383,67.0,33.35,2.667,153.43988838897698,-23.439888388976982
720.4405899047852,-8.730458743926617,51.86456795116887,44.0,32.2,2.644,153.56128776983655,-23.561287769836554
1346.5846138000488,-8.703509285403031,51.633379656487115,7.0,30.35,2.607,153.77210736291062,-23.772107362910617
1354.2085571289062,-8.514863075737932,51.979718661789356,165.0,38.25,2.765,152.9921925094723,-22.99219250947229
684.3483276367188,-9.902760189702592,51.64303613333009,0.0,30.0,2.6,153.8143239927911,-23.81432399279109
894.0528869628906,-8.649610368355859,51.76838328716698,30.0,31.5,2.63,153.638706599292,-23.638706599291993
2472.6778106689453,-8.48791361721435,51.86456795116887,86.0,34.3,2.686,153.34469268157295,-23.34469268157295
1605.9638900756836,-8.622660909832273,52.15189125331983,72.0,33.6,2.672,153.41440440856596,-23.414404408565957
1506.399154663086,-8.60918618057048,52.00846019734897,165.0,38.25,2.765,152.9921925094723,-22.99219250947229
1358.7724876403809,-9.47156885332522,52.06588793017615,81.0,34.05,2.681,153.36931603784168,-23.369316037841685
1257.8410892486572,-9.52546777037239,52.06588793017615,41.0,32.05,2.641,153.57764621458836,-23.577646214588356
725.420768737793,-8.568761992785104,51.80688179087794,91.0,34.55,2.691,153.32036706823055,-23.320367068230553
817.6116561889648,-8.932579682853511,51.73948784345041,44.0,32.2,2.644,153.56128776983655,-23.561287769836554
535.0395126342773,-8.32621686607283,51.826118722340816,14.0,30.7,2.614,153.7306597223352,-23.73065972233519
1075.1712265014648,-9.02690278768606,51.57539760822672,0.0,30.0,2.6,153.8143239927911,-23.81432399279109
505.2781295776367,-9.47156885332522,52.10413210894698,145.0,37.25,2.745,153.0753642876955,-23.075364287695493
1184.2036762237549,-8.420539970905384,52.046753549232776,162.0,38.1,2.762,153.0044262088237,-23.004426208823702
980.484317779541,-8.460964158690762,51.826118722340816,55.0,32.75,2.6550000000000002,153.50235513744352,-23.502355137443516
1289.9797744750977,-8.393590512381795,52.142343519440566,37.0,31.85,2.637,153.59965211516342,-23.599652115163423
952.8724784851074,-8.353166324596419,52.190061719075615,42.0,32.1,2.642,153.57217957807012,-23.57217957807012
710.2611389160156,-8.649610368355859,51.80688179087794,74.0,33.7,2.674,153.40429847684527,-23.40429847684527
620.8187789916992,-8.716984014664824,52.046753549232776,250.0,42.5,2.85,152.67761120485025,-22.67761120485025
1108.2401428222656,-8.50138834647614,51.931775095252014,110.0,35.5,2.71,153.23056039539458,-23.230560395394576
1279.0675735473633,-8.555287263523313,51.893383323240826,30.0,31.5,2.63,153.638706599292,-23.638706599291993
685.2658157348634,-8.420539970905384,51.95095867397915,75.0,33.75,2.675,153.39926412686032,-23.399264126860317
