lat,lon,population,elevation,snr_proxy,tower_height,tx_power_dbm,env,cluster,band,cov_radius_km
52.097135388525686,-9.781487626346458,815.7989120483398,26.0,0.4,26.3,22.0,rural,-1,700MHz,0.0
51.88635358785174,-8.380115783120004,815.5496215820312,0.0,0.4,25.0,22.0,rural,-1,700MHz,0.0
51.924751367073846,-8.32621686607283,791.3350639343262,124.0,0.6,31.2,23.0,rural,-1,700MHz,0.0
51.924751367073846,-8.568761992785104,781.9970741271973,46.0,0.4,27.3,22.0,rural,-1,700MHz,0.0
51.87674901371756,-8.555287263523313,777.4812545776367,13.0,0.4,25.65,22.0,rural,-1,700MHz,0.0
51.88635358785174,-8.541812534261519,771.7700271606445,5.0,0.4,25.25,22.0,rural,-1,700MHz,0.0
52.11624818745999,-9.781487626346458,735.804141998291,10.0,0.4,25.5,22.0,rural,-1,700MHz,0.0
51.89595611008564,-8.177994844193114,734.9004306793213,2.0,0.4,25.1,22.0,rural,-1,700MHz,0.0
51.991868515121105,-8.474438887952555,716.4460105895996,128.0,0.6,31.4,23.0,rural,-1,700MHz,0.0
52.039747830742435,-8.730458743926617,710.9666004180908,199.0,0.8,34.95,24.0,rural,-1,700MHz,0.0
52.0684508286117,-8.285792678287455,702.4999542236328,50.0,0.6,27.5,23.0,rural,-1,700MHz,0.0
51.9439379486627,-8.568761992785104,693.2857971191406,68.0,0.6,28.4,23.0,rural,-1,700MHz,0.0
51.867142387514605,-8.730458743926617,679.8234748840332,41.0,0.4,27.05,22.0,rural,-1,700MHz,0.0
51.934345683395655,-8.474438887952555,672.1026306152344,88.0,0.6,29.4,23.0,rural,-1,700MHz,0.0
51.905556580588,-8.40706524164359,669.2341613769531,12.0,0.4,25.6,22.0,rural,-1,700MHz,0.0
51.905556580588,-8.272317949025663,648.854736328125,3.0,0.4,25.15,22.0,rural,-1,700MHz,0.0
52.04931754564751,-8.716984014664824,646.9405117034912,239.0,0.8,36.95,24.0,rural,-1,700MHz,0.0
51.924751367073846,-8.622660909832273,640.5368957519531,55.0,0.6,27.75,23.0,rural,-1,700MHz,0.0
52.173537442662635,-8.460964158690762,639.4035034179688,52.0,0.6,27.6,23.0,rural,-1,700MHz,0.0
52.11624818745999,-9.269447914398329,629.445707321167,233.0,0.8,36.65,24.0,rural,-1,700MHz,0.0
52.05888521154661,-9.94318437748797,622.8436851501465,13.0,0.4,25.65,22.0,rural,-1,700MHz,0.0
