lat,lon,population,elevation,snr,tower_height,tx_power_dbm,coverage_km,type,cluster
52.100976990527336,-9.458094124063429,1862.615761756897,194.0,0.8,34.7,24.0,3.2925064115555127,Urban,-1
52.24411104447861,-8.447489429428966,1857.841064453125,,0.4,,22.0,2.07,Urban,-1
52.38678487084894,-8.582236722046897,1846.3086795806885,,0.4,,22.0,2.07,Urban,-1
52.38678487084894,-9.3233468314455,1841.7008485794067,,0.4,,22.0,2.07,Urban,-1
52.148739514761985,-8.245368490502077,1819.3165702819824,33.0,0.4,26.65,22.0,2.3637310772201876,Urban,-1
52.05316326443564,-8.716984014664826,1792.075900554657,208.0,0.8,35.4,24.0,3.3005730336839822,Urban,-1
52.29172009366629,-9.862336001917214,1766.078374862671,,0.4,,22.0,2.07,Urban,-1
52.2441110444786,-9.660215062990321,1720.5871515274048,,0.4,,22.0,2.07,Urban,-1
52.36303783477683,-8.481176252583449,1714.1823377609253,,0.4,,22.0,2.07,Urban,-1
51.95738212057867,-8.447489429428966,1689.945647239685,137.0,0.6,31.85,23.0,2.8375186437038096,Urban,-1
52.148739514761985,-8.380115783120003,1665.653615951538,65.0,0.6,28.25,23.0,2.7953249462459206,Urban,-1
52.172601582951685,-8.27905531365656,1662.9145011901855,41.0,0.4,27.05,22.0,2.3681954159153857,Urban,-1
51.98134662469609,-8.481176252583449,1657.1543273925781,138.0,0.6,31.9,23.0,2.838070453276317,Urban,-1
52.077076529063646,-9.559154593526875,1648.85107421875,118.0,0.6,30.9,23.0,2.8268663683341164,Urban,-1
52.2441110444786,-9.727588709299283,1625.6440029144287,,0.4,,22.0,2.07,Urban,-1
52.100976990527336,-8.110621197884146,1597.944791316986,39.0,0.4,26.95,22.0,2.3670855509707023,Urban,-1
52.220287345078376,-8.683297191510343,1597.2534952163696,,0.4,,22.0,2.07,Urban,-1
52.315505448961204,-9.76127553245377,1596.6857471466064,,0.4,,22.0,2.07,Urban,-1
52.1248646515249,-9.76127553245377,1575.8986263275146,16.0,0.4,25.8,22.0,2.3540175971146287,Urban,-1
51.93340479991839,-9.15491271567309,1536.8994789123535,173.0,0.8,33.65,24.0,3.280096113760796,Urban,-1
52.172601582951685,-8.818044484128274,1526.0687103271484,89.0,0.6,29.45,23.0,2.809959092289728,Urban,-1
52.267921959757885,-9.76127553245377,1508.3866271972656,,0.4,,22.0,2.07,Urban,-1
